,GDP_YoY
1948-01-01,2.6115130887197857
1948-04-01,4.584425869542463
1948-07-01,5.401227748440474
1948-10-01,3.893671831519563
1949-01-01,0.9432142598815307
1949-04-01,-1.0349235073725427
1949-07-01,-0.5828532996763891
1949-10-01,-1.5273316105121282
1950-01-01,3.7728563296203443
1950-04-01,7.3033578207718275
1950-07-01,10.31016190305496
1950-10-01,13.37239384907627
1951-01-01,10.564876919352262
1951-04-01,9.149921288242213
1951-07-01,7.252998354921925
1951-10-01,5.468163272004611
1952-01-01,5.165331710079579
1952-04-01,3.5962738991806464
1952-07-01,2.2373637292217197
1952-10-01,5.364084180388229
1953-01-01,6.189877102033248
1953-04-01,6.781988440997866
1953-07-01,5.420994313817573
1953-10-01,0.5240615047921171
1954-01-01,-1.7819250203068182
1954-04-01,-2.4287768660382403
1954-07-01,-0.7683311027168682
1954-10-01,2.728619424977574
1955-01-01,6.170198707152275
1955-04-01,7.780241231188367
1955-07-01,8.015915391937867
1955-10-01,6.579017260658704
1956-01-01,3.2169536928957188
1956-04-01,2.403458081833021
1956-07-01,0.9479719442729406
1956-10-01,1.9968256280694208
1957-01-01,3.0497555743857596
1957-04-01,1.9809816095332389
1957-07-01,3.0727752848411116
1957-10-01,0.3546985657322921
1958-01-01,-2.8722901975747894
1958-04-01,-2.019544786757199
1958-07-01,-0.7259560645533125
1958-10-01,2.6573288629399228
1959-01-01,7.415106238167812
1959-04-01,9.118833932250613
1959-07-01,6.726222850606911
1959-10-01,4.584935628476705
1960-01-01,4.92379619042107
1960-04-01,2.0590973393856515
1960-07-01,2.487655452956039
1960-10-01,0.8851013654155082
1961-01-01,-0.6675232238545603
1961-04-01,1.5657846818091237
1961-07-01,3.0115335873595495
1961-10-01,6.397498989994466
1962-01-01,7.569160858836588
1962-04-01,6.730272632782075
1962-07-01,6.0068727611334305
1962-10-01,4.3098468185995165
1963-01-01,3.601109802250946
1963-04-01,3.824586006509767
1963-07-01,4.818697418135365
1963-10-01,5.159809846807195
1964-01-01,6.217339646105979
1964-04-01,6.182313598326505
1964-07-01,5.521285465939152
1964-10-01,5.157812790498717
1965-01-01,5.478300000024183
1965-04-01,5.660274908434038
1965-07-01,6.347484807761239
1965-10-01,8.46227065873435
1966-01-01,8.477019498128314
1966-04-01,7.489340026826796
1966-07-01,6.042108531485502
1966-10-01,4.504402897482795
1967-01-01,2.925069232407873
1967-04-01,2.637737713577337
1967-07-01,2.7387436004856935
1967-10-01,2.6709272243796267
1968-01-01,3.8448152772550426
1968-04-01,5.514676233925897
1968-07-01,5.335354450306062
1968-10-01,4.9578561546840705
1969-01-01,4.469434131486105
1969-04-01,3.064780019887059
1969-07-01,2.947610114439625
1969-10-01,2.0442073487201062
1970-01-01,0.3227914619529093
1970-04-01,0.1611246078731865
1970-07-01,0.42134368087578533
1970-10-01,-0.16735247777361906
1971-01-01,2.697158764619889
1971-04-01,3.1064413232145816
1971-07-01,3.005276944871249
1971-10-01,4.365553188952087
1972-01-01,3.4725060662768703
1972-04-01,5.251377703035898
1972-07-01,5.378364037294192
1972-10-01,6.891806086097496
1973-01-01,7.561184799549903
1973-04-01,6.319553786409782
1973-07-01,4.7713493752379765
1973-10-01,4.024055261813664
1974-01-01,0.6389984128199799
1974-04-01,-0.20826169490241186
1974-07-01,-0.6290398324048763
1974-10-01,-1.9457634317057715
1975-01-01,-2.2997714710448536
1975-04-01,-1.8348424207727088
1975-07-01,0.7986153897486803
1975-10-01,2.5547951202428143
1976-01-01,6.154303273356643
1976-04-01,6.173984642335095
1976-07-01,4.95825690072933
1976-10-01,4.311515992322779
1977-01-01,3.2268394403294653
1977-04-01,4.465304296293993
1977-07-01,5.769993106834703
1977-10-01,5.013271221670101
1978-01-01,4.1141118093148465
1978-04-01,6.077933225596155
1978-07-01,5.247033083241948
1978-10-01,6.659559719611163
1979-01-01,6.510448393675339
1979-04-01,2.6566953584967523
1979-07-01,2.389453450707335
1979-10-01,1.284088156938723
1980-01-01,1.420553641544986
1980-04-01,-0.775068743967744
1980-07-01,-1.623745716089553
1980-10-01,-0.039051531488198954
1981-01-01,1.6000011986558205
1981-04-01,2.9686706612209957
1981-07-01,4.325718700878034
1981-10-01,1.2998250196119887
1982-01-01,-2.190515056799669
1982-04-01,-1.0107452377141501
1982-07-01,-2.5560417516138023
1982-10-01,-1.4431837563933958
1983-01-01,1.4314731652409485
1983-04-01,3.268479687025838
1983-07-01,5.736967079109201
1983-10-01,7.899663970222681
1984-01-01,8.578045114732769
1984-04-01,7.996531921438144
1984-07-01,6.900732226163919
1984-10-01,5.575643773964911
1985-01-01,4.5548222635726665
1985-04-01,3.683987731337335
1985-07-01,4.262423409248006
1985-10-01,4.182460058948112
1986-01-01,4.146107165729074
1986-04-01,3.702004545954951
1986-07-01,3.1191787285773875
1986-10-01,2.9072396676214085
1987-01-01,2.7115848244058993
1987-04-01,3.353600672877488
1987-07-01,3.2619859723208355
1987-10-01,4.474555651430423
1988-01-01,4.241257896544837
1988-04-01,4.484493225777175
1988-07-01,4.193200105129624
1988-10-01,3.799338836732069
1989-01-01,4.3151632099998505
1989-04-01,3.7479108262349126
1989-07-01,3.9075419072247097
1989-10-01,2.743211930028755
1990-01-01,2.821006526483294
1990-04-01,2.412704964193124
1990-07-01,1.7273622503686914
1990-10-01,0.6030627340393391
1991-01-01,-0.9501973946258402
1991-04-01,-0.5389307958117096
1991-07-01,-0.10280887034219699
1991-10-01,1.1664011655910578
1992-01-01,2.858936912248855
1992-04-01,3.169835814511379
1992-07-01,3.6653854414522735
1992-10-01,4.382645388993267
1993-01-01,3.3199058070509935
1993-04-01,2.806668207145946
1993-07-01,2.2865117406066116
1993-10-01,2.6077107599381977
1994-01-01,3.430706936043171
1994-04-01,4.225610689832271
1994-07-01,4.337048254936149
1994-10-01,4.116167021429895
1995-01-01,3.481405627292
1995-04-01,2.4023751008017014
1995-07-01,2.6733258155179795
1995-10-01,2.1997916299495213
1996-01-01,2.6013098466592277
1996-04-01,4.002379484223728
1996-07-01,4.0501348871777365
1996-10-01,4.421452442981133
1997-01-01,4.314068944306992
1997-04-01,4.31127171595187
1997-07-01,4.674702492340366
1997-10-01,4.483552816031211
1998-01-01,4.855526883310857
